"user_id","item_id","timestamp","type","priority","recency","customer_name"
"13614","251","1647376780000","is_invited","1","4","c3"
"13519","153","1634145914000","is_inviting","1","3","c3"
"13621","251","1647376154000","is_inviting","1","4","c3"
"16294","240","1646401534000","is_inviting","1","4","c3"
"13437","112","1630511349000","is_inviting","1","3","c3"
"13437","138","1631719338000","is_inviting","1","3","c3"
"16183","141","1632428251000","is_inviting","1","3","c3"
"13519","76","1627941028000","is_inviting","1","3","c3"
"13427","193","1643925984000","is_inviting","1","4","c3"
"15360","97","1630542074000","is_inviting","1","3","c3"
"13427","191","1643916851000","is_inviting","1","4","c3"
"13646","251","1647376780000","is_invited","1","4","c3"
"13635","251","1647376780000","is_invited","1","4","c3"
"17591","240","1646401534000","is_invited","1","4","c3"
"13651","251","1647376780000","is_invited","1","4","c3"
"13701","274","1648740836000","is_invited","1","4","c3"
"13591","251","1647376780000","is_invited","1","4","c3"
"13628","251","1647376780000","is_invited","1","4","c3"
"13642","251","1647376780000","is_invited","1","4","c3"
"13533","131","1630600604000","is_invited","1","3","c3"
"15360","76","1627942092000","is_invited","1","3","c3"
"13632","251","1647376780000","is_invited","1","4","c3"
"13704","274","1648740836000","is_invited","1","4","c3"
"13611","251","1647376780000","is_invited","1","4","c3"
"17591","257","1647640344000","is_invited","1","4","c3"
"13673","251","1647376780000","is_invited","1","4","c3"
"13484","142","1632428611000","is_invited","1","3","c3"
"13114","295","1649180610000","is_invited","1","4","c3"
"16158","50","1627947272000","is_invited","1","3","c3"
"13577","251","1647376780000","is_invited","1","4","c3"
"15154","104","1630524040000","is_invited","1","3","c3"
"17589","241","1646401427000","is_invited","1","4","c3"
"13645","251","1647376780000","is_invited","1","4","c3"
"13644","251","1647376780000","is_invited","1","4","c3"
"13652","251","1647376780000","is_invited","1","4","c3"
"13570","251","1647376780000","is_invited","1","4","c3"
"13694","274","1648740836000","is_invited","1","4","c3"
"13582","251","1647376780000","is_invited","1","4","c3"
