"user_id","item_id","rating","customer_name"
"18011","711","3","c2"
"17340","641","5","c2"
"13393","52","5","c2"
"14684","479","1","c2"
"15000","35","3","c2"
"13546","78","4","c2"
"13708","114","5","c2"
"17433","614","4","c2"
"17943","621","2","c2"
"15877","413","5","c2"
"13674","413","4","c2"
"13471","67","5","c2"
"17807","721","5","c2"
"13291","582","5","c2"
"13445","68","5","c2"
"13598","584","5","c2"
"17340","620","5","c2"
"17541","583","5","c2"
"13458","46","3","c2"
"14009","274","5","c2"
"13823","413","5","c2"
"17628","639","4","c2"
"17338","404","4","c2"
"13385","413","4","c2"
"16790","413","5","c2"
"13783","156","5","c2"
"17474","508","5","c2"
"13564","86","5","c2"
"13481","213","5","c2"
"14457","398","5","c2"
"17571","660","5","c2"
"13254","413","4","c2"
"15622","413","3","c2"
"17064","581","5","c2"
"13727","129","5","c2"
"17981","645","2","c2"
"18148","640","5","c2"
"13257","413","1","c2"
"16464","413","1","c2"
"13149","332","5","c3"
"18022","500","5","c3"
"13247","102","2","c3"
"18018","21","5","c3"
"13249","222","5","c3"
"18189","131","5","c3"
"18018","18","5","c3"
"15360","453","5","c3"
"13740","500","5","c3"
"18018","22","5","c3"
"17359","501","4","c2"
"13753","150","3","c2"
"16213","413","5","c2"
"13856","640","5","c2"
"13856","681","5","c2"
"13393","66","5","c2"
"15625","410","5","c2"
"13291","587","5","c2"
"16593","413","4","c2"
"17737","639","2","c2"
"17839","639","5","c2"
"17666","640","5","c2"
"16804","413","1","c2"
"16869","413","5","c2"
"13574","223","5","c2"
"17598","645","5","c2"
"13751","147","4","c2"
"14895","660","5","c2"
"13413","413","4","c2"
"15000","32","3","c2"
"17541","582","5","c2"
"13357","721","5","c2"
"15260","413","5","c2"
"13755","147","4","c2"
"17359","641","2","c2"
"13570","86","5","c2"
"13662","108","5","c2"
"14402","390","5","c2"
"17411","501","4","c2"
"17354","505","4","c2"
"14414","392","5","c2"
"13412","55","5","c2"
"14666","33","5","c2"
"17985","645","3","c2"
"14423","659","4","c2"
"14690","479","4","c2"
"17446","616","4","c2"
"17918","640","5","c2"
"14598","413","5","c2"
"17433","615","3","c2"
"13598","583","5","c2"
"14545","413","5","c2"
"17673","639","1","c2"
"17509","606","5","c2"
"18019","647","1","c2"
"17933","645","4","c2"
"17278","407","5","c2"
"17340","501","1","c2"
"15758","413","4","c2"
"14425","407","5","c2"
"13819","195","5","c2"
"13668","681","4","c2"
"13856","639","5","c2"
"13703","114","5","c2"
"13755","153","4","c2"
"13753","147","1","c2"
"14428","470","5","c2"
"13755","150","4","c2"
"13564","413","5","c2"
"17606","621","4","c2"
"13673","117","5","c2"
"17628","641","4","c2"
