"group_id","user_id","customer_name"
"13074","24410","c1"
"2","15840","c1"
"2","18022","c1"
"2","18174","c1"
"2","26950","c1"
"23345","19113","c1"
"13346","13251","c1"
"1","23922","c1"
"1","23124","c1"
"13083","16136","c1"
"19845","20796","c1"
"1","21152","c1"
"13043","17999","c1"
"21042","26393","c1"
"6","13253","c1"
"13346","13324","c1"
"6","20278","c1"
"1","15409","c1"
"13061","23937","c1"
"15864","17656","c1"
"1","18136","c1"
"6","22958","c1"
"2","16268","c1"
"2","18627","c1"
"6","15069","c1"
"6","22853","c1"
"1","25518","c1"
"6","24462","c1"
"15864","20946","c1"
"13156","13387","c1"
"6","21007","c1"
"6","15794","c1"
"6","22374","c1"
"2","22841","c1"
"19976","22878","c1"
"19873","18081","c1"
"1","26309","c1"
"2","16680","c1"
"13073","21363","c1"
"13092","19972","c1"
"13042","17326","c1"
"6","19827","c1"
"2","15126","c1"
"16232","18738","c1"
"13346","13651","c1"
"6","15117","c1"
"16506","18612","c1"
"15864","18774","c1"
"13129","24822","c1"
"2","15042","c1"
"1","25082","c1"
"6","20811","c1"
"13091","18400","c1"
"6","18257","c1"
"13043","18484","c1"
"6","24875","c1"
"2","26126","c1"
"6","20676","c1"
"23520","17052","c1"
"15864","22692","c1"
"6","26017","c1"
"13056","26981","c1"
"13163","19476","c1"
"19981","27008","c1"
"13064","16298","c1"
"23607","25454","c1"
"25230","26958","c1"
"13092","20324","c1"
"6","14569","c1"
"2","17183","c1"
"2","23046","c1"
"16506","18042","c1"
"15864","17835","c1"
"6","19229","c1"
"13091","19804","c1"
"2","24970","c1"
"6","16716","c1"
"23347","21946","c1"
"6","18726","c1"
"1","14862","c1"
"15864","21155","c1"
"16232","20638","c1"
"6","14032","c1"
"6","17340","c1"
"13082","17767","c1"
"13932","13275","c1"
"15864","19431","c1"
"6","17705","c1"
"13041","18336","c1"
"13083","24595","c1"
"13220","18083","c1"
"13072","21091","c1"
"1","16045","c2"
"18157","18158","c2"
"16207","16246","c2"
"2","15024","c2"
"1","13717","c2"
"1","13472","c2"
"13878","13993","c2"
"17634","17064","c2"
"6","16713","c2"
"13031","13778","c2"
"1","16887","c2"
"17954","17913","c2"
"13332","15843","c2"
"17109","17165","c2"
"17649","17672","c2"
"17454","17936","c2"
"14863","16669","c2"
"2","13702","c2"
"1","15628","c2"
"6","14974","c2"
"1","13487","c2"
"1","17277","c2"
"6","15324","c2"
"2","17405","c2"
"6","17201","c2"
"2","17669","c2"
"15056","15083","c2"
"13540","16907","c2"
"17241","17244","c2"
"1","15024","c2"
"17716","14050","c2"
"15992","15997","c2"
"1","13303","c2"
"2","17319","c2"
"15053","15883","c2"
"13409","13444","c2"
"15392","15400","c2"
"14789","14790","c2"
"2","14607","c2"
"2","13555","c2"
"2","15806","c2"
"15417","15461","c2"
"16006","16104","c2"
"1","14521","c2"
"13764","17184","c2"
"2","13627","c2"
"6","13682","c2"
"14789","17422","c2"
"14880","14878","c2"
"17511","17514","c2"
"13408","13477","c2"
"6","16605","c2"
"17715","13853","c2"
"13757","13763","c2"
"6","18107","c2"
"1","16151","c2"
"6","16491","c2"
"16206","16583","c2"
"17367","13327","c2"
"13765","15756","c2"
"1","15609","c2"
"1","15422","c2"
"2","16238","c2"
"6","15617","c2"
"2","16208","c2"
"6","14490","c2"
"1","13668","c2"
"14702","14722","c2"
"13764","16479","c2"
"2","14852","c2"
"6","15354","c2"
"6","16188","c2"
"13535","13640","c2"
"1","13822","c2"
"1","15714","c2"
"16400","16004","c2"
"1","14869","c2"
"1","14764","c2"
"6","16053","c2"
"2","17947","c2"
"17716","13866","c2"
"2","17549","c2"
"15774","15961","c2"
"17716","17866","c2"
"13615","16193","c2"
"1","16808","c2"
"2","18127","c2"
"14250","15146","c2"
"15057","16634","c2"
"2","17188","c2"
"2","16590","c2"
"1","17825","c2"
"17716","17831","c2"
"13539","14608","c2"
"2","17594","c2"
"6","13813","c2"
"2","17529","c2"
"6","15215","c2"
"16006","17580","c2"
"1","15733","c2"
"14939","14941","c2"
"2","16898","c2"
"2","17759","c2"
"2","14671","c2"
"2","15903","c2"
"2","17822","c2"
"2","13450","c2"
"2","18002","c2"
"16005","17583","c2"
"15993","13924","c2"
"18156","18160","c2"
"2","16925","c2"
"6","15741","c2"
"17634","14049","c2"
