idst,idstMember,filter
14998,15026,""
6,14407,""
14664,15491,""
14717,14761,""
2,15104,""
2,15248,""
12301,14029,""
13053,15146,""
2,14007,""
14521,15145,""
2,14127,""
1,13924,""
14953,14951,""
13119,14279,""
6,14320,""
13137,13731,""
4,13767,""
14664,15484,""
6,15439,""
2,14275,""
2,14457,""
1,13971,""
2,14621,""
6,14411,""
2,15452,""
6,15415,""
4,13820,""
14666,15273,""
13133,13603,""
2,15087,""
13053,14336,""
14012,14050,""
2,14051,""
14699,14697,""
14520,15055,""
13136,13867,""
2,13829,""
2,14202,""
13134,13930,""
6,14572,""
13060,15453,""
14478,13611,""
14136,14135,""
13060,15099,""
14478,13846,""
2,15171,""
14262,14213,""
1,13806,""
6,13787,""
1,13951,""
1,14992,""
1,13866,""
14478,13911,""
14310,14049,""
6,14614,""
1,15191,""
13036,15471,""
13129,13699,""
2,14305,""
2,13815,""
1,15336,""
13119,14255,""
14528,14065,""
14751,15253,""
14521,15054,""
6,15277,""
2,13106,""
13035,14211,""
1,14021,""
15481,15482,""
13128,14053,""
13053,14437,""
12301,13743,""
13113,13937,""
12301,13690,""
14264,13764,""
2,14540,""
14521,14530,""
13053,13844,""
1,15532,""
1,15011,""
6,14405,""
2,14370,""
1,15339,""
6,13700,""
6,13891,""
1,14073,""
13053,15094,""
14682,15164,""
14342,14652,""
1,15406,""
14478,13771,""
14478,14423,""
13060,15079,""
13036,15351,""
1,14602,""
6,15511,""
12301,13995,""
13060,15268,""
13036,15373,""
2,15328,""
14478,13701,""
6,14471,""
14682,15282,""
14478,13593,""
2,15265,""
14274,14337,""
14264,13732,""
2,15261,""
13053,13953,""
2,15394,""
2,15465,""
14478,14502,""
3,15431,""
14947,15008,""
13053,14379,""
14478,13921,""
2,15070,""
14478,13623,""
6,14317,""
14528,14647,""
13035,15182,""
14478,13749,""
6,14606,""
1,14129,""
6,14085,""
6,15171,""
14261,13681,""
14664,15502,""
2,13814,""
1,13686,""
1,15142,""
14274,14141,""
6,13653,""
6,15016,""
6,13739,""
12301,14112,""
1,14259,""
14012,13985,""
2,13979,""
14478,13862,""
13136,13916,""
6,14990,""
13112,13785,""
1,14243,""
13136,13963,""
6,14202,""
13155,13631,""
6,14462,""
2,14000,""
14667,15273,""
14262,14048,""
14101,14105,""
1,14045,""
13136,13869,""
1,13795,""
6,15077,""
13068,13619,""
6,15361,""
13060,15475,""
14478,15095,""
1,14419,""
14521,14568,""
6,15042,""
6,15101,""
2,15487,""
14478,13939,""
1,15016,""
6,13587,""
2,14441,""
14521,15061,""
13036,15333,""
13133,13838,""
14274,14636,""
13119,14081,""
14013,14093,""
14948,15008,""
13155,13964,""
1,14223,""
14520,15450,""
1,13811,""
13036,15521,""
14274,14647,""
13053,13728,""
1,15291,""
2,13981,""
1,14485,""
2,14738,""
14478,15322,""
2,15408,""
1,15026,""
1,14488,""
13053,14516,""
14528,14502,""
1,13361,""
14274,15148,""
6,14427,""
13125,13920,""
13053,13976,""
14231,14034,""
14274,14388,""
15481,15498,""
2,15361,""
14478,13755,""
1,14271,""
13036,15142,""
13137,13950,""
6,15483,""
14521,15417,""
13129,13850,""
13060,15468,""
1,14130,""
1,15177,""
13060,15130,""
13132,13873,""
2,14753,""
6,14315,""
