id,idChannel,idAsset,asset_type,peer_review,created_at,created_by,updated_at,updated_by
91,46,100,1,"","","","",""
217,46,225,1,"","","","",""
122,50,129,1,"","","","",""
339,55,314,1,"","","","",""
261,62,265,1,"","","","",""
756,64,734,2,"",1655921252000,"","",""
438,71,396,1,"","","","",""
529,74,509,1,"","","","",""
711,85,708,1,"","","","",""
23,29,22,1,"","","","",""
262,29,265,1,"","","","",""
667,30,664,1,"","","","",""
206,31,216,1,"","","","",""
116,33,122,1,"","","","",""
35,43,33,1,"","","","",""
319,43,7897,3,"","","","",""
368,44,336,1,"","","","",""
408,44,379,1,"","","","",""
97,46,106,1,"","","","",""
103,46,112,1,"","","","",""
105,46,114,1,"","","","",""
269,46,269,1,"","","","",""
121,50,128,1,"","","","",""
335,54,312,1,"","","","",""
399,54,371,1,"","","","",""
478,58,442,1,"","","","",""
331,66,305,1,"","","","",""
380,69,349,1,"","","","",""
387,69,358,1,"","","","",""
503,74,479,1,"","","","",""
525,74,505,1,"","","","",""
655,81,638,1,"","","","",""
616,20,611,1,"","","","",""
641,29,625,1,"","","","",""
513,32,489,1,"","","","",""
750,35,734,2,"",1655921252000,"","",""
487,43,454,1,"","","","",""
629,43,615,1,"","","","",""
360,44,327,1,"","","","",""
99,46,108,1,"","","","",""
248,46,255,1,"","","","",""
249,46,256,1,"","","","",""
395,70,367,1,"","","","",""
434,71,392,1,"","","","",""
435,71,393,1,"","","","",""
489,29,458,1,"","","","",""
745,29,734,2,"",1655921252000,"","",""
186,32,192,1,"","","","",""
145,33,151,1,"","","","",""
90,46,99,1,"","","","",""
96,46,105,1,"","","","",""
180,50,186,1,"","","","",""
442,50,401,1,"","","","",""
187,53,195,1,"","","","",""
719,81,715,1,"","","","",""
492,20,5641,3,"","","","",""
491,20,5961,3,"","","","",""
157,26,170,1,"","","","",""
218,29,225,1,"","","","",""
281,29,282,1,"","","","",""
698,30,695,1,"","","","",""
138,33,147,1,"","","","",""
619,36,611,1,"","","","",""
643,43,626,1,"","","","",""
95,46,104,1,"","","","",""
328,55,301,1,"","","","",""
708,55,705,1,"","","","",""
323,57,295,1,"","","","",""
356,67,317,1,"","","","",""
383,69,353,1,"","","","",""
466,73,437,1,"","","","",""
570,76,567,1,"","","","",""
608,78,605,1,"","","","",""
142,15,150,1,"","","","",""
617,21,611,1,"","","","",""
37,25,35,1,"","","","",""
182,29,189,1,"","","","",""
696,30,693,1,"","","","",""
428,37,7986,3,"","","","",""
357,44,323,1,"","","","",""
359,44,325,1,"","","","",""
247,46,254,1,"","","","",""
120,50,127,1,"","","","",""
542,52,528,1,"","","","",""
416,55,387,1,"","","","",""
599,55,602,1,"","","","",""
464,73,438,1,"","","","",""
654,78,8427,3,"","","","",""
633,81,617,1,"","","","",""
25,29,24,1,"","","","",""
517,29,494,1,"","","","",""
538,29,524,1,"","","","",""
622,29,612,1,"","","","",""
695,30,692,1,"","","","",""
333,32,307,1,"","","","",""
45,42,43,1,"","","","",""
159,42,172,1,"","","","",""
39,44,37,1,"","","","",""
373,44,342,1,"","","","",""
245,47,252,1,"","","","",""
162,54,175,1,"","","","",""
340,58,315,1,"","","","",""
391,69,362,1,"","","","",""
712,81,709,1,"","","","",""
1,19,1,1,"","","","",""
282,29,283,1,"","","","",""
555,30,544,1,"","","","",""
697,30,694,1,"","","","",""
514,32,490,1,"","","","",""
134,33,143,1,"","","","",""
458,37,7901,3,"","","","",""
413,43,90,4,"","","","",""
374,44,345,1,"","","","",""
454,55,413,1,"","","","",""
270,57,270,1,"","","","",""
430,63,93,3,"","","","",""
