"item_id","creation_date","content_type","recency","customer_name"
"181","1600854081000","1","2","c2"
"185","1642196326000","1","3","c3"
"176","1641396045000","15","3","c3"
"180","1600854081000","1","2","c2"
"354","1652726926000","5","5","c3"
"236","1646148301000","19","4","c3"
"198","1644415150000","19","4","c3"
"70","1626157991000","1","3","c3"
"182","1600854082000","1","2","c2"
"322","1650566473000","19","4","c3"
"305","1650037762000","19","4","c3"
"133","1630620481000","1","3","c3"
"210","1614337360000","5","2","c2"
"207","1614325321000","5","2","c2"
"307","1650038443000","19","4","c3"
"242","1643709352000","1","4","c2"
"75","1571149355000","1","1","c2"
"287","1648844167000","19","4","c3"
"206","1614325208000","5","2","c2"
"67","1620939057000","1","2","c3"
"189","1643904862000","1","4","c3"
"193","1643925965000","1","4","c3"
"173","1600852786000","1","2","c2"
"175","1641243284000","19","3","c3"
"250","1647030693000","20","4","c3"
"185","1600854640000","1","2","c2"
"193","1612437389000","20","2","c2"
"332","1651179658000","1","4","c3"
"381","1656088658000","19","5","c3"
"148","1633468800000","1","3","c3"
"53","1619035936000","1","2","c3"
"232","1645631308000","19","4","c3"
"169","1600069128000","1","2","c2"
"317","1650482955000","1","4","c3"
"245","1643725042000","1","4","c2"
"29","1603924477000","1","2","c3"
"340","1651599353000","1","4","c3"
"25","1603320266000","1","2","c3"
"243","1643710393000","1","4","c2"
"310","1650038743000","19","4","c3"
"204","1645555191000","1","4","c3"
"90","1628703176000","1","3","c3"
"136","1631048405000","1","3","c3"
"189","1612436862000","1","2","c2"
"156","1600069126000","1","2","c2"
"209","1614325426000","5","2","c2"
"72","1571147986000","1","1","c2"
"171","1600851249000","1","2","c2"
"168","1600069128000","1","2","c2"
"374","1655318130000","1","5","c3"
"285","1648840427000","19","4","c3"
"208","1614325378000","5","2","c2"
"301","1649776794000","1","4","c3"
"229","1639987949000","1","3","c2"
"250","1643966541000","1","4","c2"
"239","1640076984000","1","3","c2"
"234","1645631515000","19","4","c3"
"297","1649255397000","1","4","c3"
"1","1597269154000","1","2","c3"
"76","1627941006000","1","3","c3"
"241","1646353083000","1","4","c3"
"267","1648486580000","1","4","c3"
"188","1612436741000","1","2","c2"
"218","1639982869000","1","3","c2"
"32","1606065944000","1","2","c3"
"48","1540393755000","1","1","c2"
"304","1649971554000","1","4","c3"
"256","1647616504000","15","4","c3"
"184","1600854640000","1","2","c2"
"215","1639746583000","1","3","c2"
"167","1600069128000","1","2","c2"
"191","1643916833000","1","4","c3"
"260","1647981258000","5","4","c3"
"194","1612438054000","1","2","c2"
"70","1570021108000","1","1","c2"
"130","1630578914000","1","3","c3"
"152","1600069125000","1","2","c2"
"295","1649180598000","1","4","c3"
"186","1642538639000","1","3","c3"
"18","1601498624000","1","2","c3"
"58","1619472201000","1","2","c3"
"135","1630814655000","1","3","c3"
"311","1650038924000","19","4","c3"
"326","1650650534000","1","4","c3"
"351","1652455030000","1","5","c3"
"38","1611775854000","19","2","c3"
"205","1614325042000","5","2","c2"
"230","1645631230000","19","4","c3"
"313","1650042358000","15","4","c3"
"100","1630119329000","1","3","c3"
"268","1648508407000","15","4","c3"
"252","1643971799000","1","4","c2"
"345","1651696913000","15","4","c3"
"37","1611767719000","4","2","c3"
"195","1644341135000","19","4","c3"
"171","1637354133000","19","3","c3"
"56","1549444802000","1","1","c2"
"296","1649184097000","1","4","c3"
"278","1648832639000","19","4","c3"
"327","1650661574000","1","4","c3"
"339","1651597712000","1","4","c3"
"141","1632428146000","1","3","c3"
"253","1646924642000","1","4","c2"
"211","1614937801000","5","2","c2"
"59","1620367509000","1","2","c3"
