"user_id","user_language","customer_name"
"15101","english","c2"
"16916","english","c2"
"13820","english","c2"
"15048","english","c2"
"15727","english","c2"
"16194","english","c2"
"18060","french","c2"
"15964","english","c2"
"16408","english","c3"
"14687","english","c3"
"16504","english","c3"
"14182","english","c3"
"16395","english","c3"
"13707","english","c3"
"14057","english","c3"
"16053","english","c3"
"13689","english","c3"
"16547","english","c3"
"16876","english","c3"
"16364","english","c3"
"14085","english","c3"
"16295","english","c3"
"13864","english","c1"
"16609","english","c1"
"24231","english","c1"
"19652","english","c1"
"24284","english","c1"
"17150","english","c1"
"22051","english","c1"
"13742","english","c1"
"22720","english","c1"
"23876","english","c1"
"18012","english","c1"
"25119","english","c1"
"16990","english","c1"
"17333","english","c1"
"21658","english","c1"
"17695","english","c1"
"13800","english","c1"
"21842","english","c1"
"19935","english","c1"
"24502","english","c1"
"13428","english","c1"
"14462","english","c1"
"26960","english","c1"
"16556","english","c1"
"16807","english","c1"
"16637","english","c1"
"21487","english","c1"
"24356","english","c1"
"13836","english","c1"
"18379","english","c1"
"24368","english","c1"
"24003","english","c1"
"22068","english","c1"
"15832","english","c1"
"15380","english","c1"
"24667","english","c1"
"17997","english","c1"
"26944","english","c1"
"15625","english","c1"
"17715","english","c1"
"27044","english","c1"
"25749","english","c1"
"16225","english","c1"
"26589","english","c1"
"14193","english","c1"
"22976","english","c1"
"26548","english","c1"
"15971","english","c1"
"21612","english","c1"
"17388","english","c1"
"15462","english","c1"
"18942","english","c1"
"24207","english","c1"
"18463","english","c1"
"21134","english","c1"
"23089","english","c1"
"25135","english","c1"
"26635","english","c1"
"16554","english","c1"
"15083","english","c1"
"15325","english","c1"
"13481","english","c1"
"25715","english","c1"
"22621","english","c1"
"25133","english","c1"
"15651","english","c1"
"15180","english","c1"
"25814","english","c1"
"25677","english","c1"
"19307","english","c1"
"18405","english","c1"
"20823","english","c1"
"19525","english","c1"
"19225","english","c1"
"18177","english","c1"
"19690","english","c1"
"21434","english","c1"
"22447","english","c1"
"17779","english","c1"
"15747","english","c1"
"24885","english","c1"
"19568","english","c1"
"13674","english","c2"
"16655","english","c2"
"13805","english","c2"
"13450","english","c2"
"16739","english","c2"
"18130","english","c2"
"15482","english","c2"
"16262","english","c2"
"17408","english","c2"
"14830","english","c2"
"14379","english","c2"
"16727","english","c2"
"13573","english","c2"
"17748","english","c2"
"17638","english","c2"
"13476","english","c2"
"15446","english","c2"
"15540","english","c2"
"17970","english","c2"
"17490","english","c2"
"16108","english","c2"
"13023","english","c3"
"17086","english","c3"
"13887","english","c3"
"17441","english","c3"
"13342","english","c3"
"16378","english","c3"
